steps,reward,noise,uncertainty,oldReward,neg,pos,negReward,posReward,negNoise,posNoise,upCounter,topCounter,undetected
185.0,22.09833886101842,23.0,0.0,22.09833886101842,77.0,108.0,7.243205491453409,14.85513336956501,9.0,14.0,90.0,48.0,23.0
242.0,88.76287688323254,16.0,0.0,89.66270063025877,157.0,85.0,80.20323217255981,8.559644710672728,7.0,9.0,163.0,133.0,16.0
273.0,122.94049991853535,19.0,0.0,122.94049991853535,165.0,108.0,91.79248554445803,31.14801437407732,12.0,7.0,180.0,167.0,19.0
236.0,67.84658063389361,29.0,0.0,67.84658063389361,96.0,140.0,26.311816761270165,41.534763872623444,9.0,20.0,143.0,98.0,29.0
266.0,107.25981073170044,23.0,0.0,108.18255562707782,165.0,101.0,89.39488479583599,17.86492593586445,11.0,12.0,173.0,159.0,23.0
268.0,115.5372300548479,18.0,0.0,115.5372300548479,158.0,110.0,87.80254144314677,27.73468861170113,8.0,10.0,174.0,160.0,18.0
425.0,263.6772571349902,24.0,0.0,263.6982416138053,230.0,195.0,149.4753010863824,114.20195604860783,11.0,13.0,335.0,283.0,24.0
231.0,51.10899390292241,27.0,0.0,51.11361862975173,87.0,144.0,14.834481922331065,36.27451198059134,11.0,16.0,141.0,48.0,27.0
269.0,116.88384161374051,24.0,0.0,117.01706028357148,155.0,114.0,83.74850975953564,33.13533185420488,12.0,12.0,178.0,164.0,24.0
222.0,64.29017773808425,18.0,0.0,66.51243862183765,145.0,77.0,68.11946839469681,-3.8292906566125566,7.0,11.0,127.0,112.0,18.0
207.0,24.25971761824451,15.0,0.0,48.2391494710464,144.0,63.0,42.61956859016914,-18.35985097192463,8.0,7.0,131.0,27.0,15.0
248.0,92.19829752458395,14.0,0.0,93.19020550639834,159.0,89.0,83.65657976979378,8.54171775479017,7.0,7.0,172.0,134.0,14.0
111.0,-42.6718138915021,17.0,0.0,-42.6718138915021,57.0,54.0,-12.837567777838558,-29.83424611366354,7.0,10.0,22.0,0.0,17.0
213.0,63.72598857851699,14.0,0.0,63.72598857851699,125.0,88.0,42.85829394310713,20.867694635409862,7.0,7.0,137.0,102.0,14.0
500.0,341.8163799569011,30.0,0.0,341.8163799569011,272.0,228.0,196.75411716848612,145.06226278841496,13.0,17.0,410.0,386.0,30.0
75.0,-23.227055289782584,10.0,0.0,-23.227055289782584,17.0,58.0,0.2749009598046541,-23.501956249587238,3.0,7.0,29.0,0.0,10.0
260.0,108.8286330527626,17.0,0.0,108.8286330527626,143.0,117.0,70.17142051504925,38.65721253771335,8.0,9.0,172.0,152.0,17.0
239.0,66.98581809177995,23.0,0.0,66.98581809177995,89.0,150.0,19.176869370043278,47.80894872173667,10.0,13.0,148.0,77.0,23.0
79.0,-28.82106913725147,14.0,0.0,-28.82106913725147,30.0,49.0,-2.0642754659056664,-26.756793671345804,7.0,7.0,25.0,0.0,14.0
270.0,115.10634969273815,14.0,0.0,115.10634969273815,162.0,108.0,92.1175271301181,22.988822562620044,7.0,7.0,190.0,156.0,14.0
394.0,238.85884754294239,18.0,0.0,238.85884754294239,203.0,191.0,129.83139122537978,109.02745631756261,7.0,11.0,298.0,282.0,18.0
108.0,-44.962422132259235,16.0,0.0,-44.962422132259235,54.0,54.0,-15.510325306328014,-29.45209682593122,8.0,8.0,22.0,0.0,16.0
257.0,106.98049102630466,12.0,0.0,106.98049102630466,145.0,112.0,77.0246673990041,29.95582362730056,6.0,6.0,183.0,143.0,12.0
79.0,-17.33055811934173,8.0,0.0,-17.33055811934173,24.0,55.0,3.823615408502519,-21.15417352784425,2.0,6.0,37.0,0.0,8.0
282.0,130.15433610160835,16.0,0.0,130.15433610160835,157.0,125.0,84.50973983411677,45.64459626749158,7.0,9.0,197.0,172.0,16.0
420.0,265.3551982960198,17.0,0.0,265.3551982960198,229.0,191.0,154.7553861811757,110.5998121148441,7.0,10.0,334.0,308.0,17.0
205.0,-56.084488658173996,17.0,0.0,-1.7509540049359202,144.0,61.0,-12.161128774251665,-43.92335988392233,9.0,8.0,110.0,18.0,17.0
73.0,-19.90717649180442,6.0,0.0,-19.90717649180442,19.0,54.0,4.334701242856681,-24.241877734661102,0.0,6.0,34.0,0.0,6.0
208.0,16.314502452906822,14.0,0.0,37.42046707961708,144.0,64.0,36.80704589538112,-20.4925434424743,7.0,7.0,135.0,30.0,14.0
115.0,-32.95715997740626,12.0,0.0,-32.95715997740626,58.0,57.0,-9.039203949272633,-23.91795602813363,6.0,6.0,43.0,0.0,12.0
436.0,275.90776071790606,19.0,0.0,275.90776071790606,236.0,200.0,165.12935901526362,110.77840170264244,8.0,11.0,340.0,314.0,19.0
302.0,146.2736319427495,17.0,0.0,146.2736319427495,172.0,130.0,94.11146118334727,52.162170759402215,10.0,7.0,213.0,182.0,17.0
332.0,176.40148581564426,31.0,0.0,176.40148581564426,153.0,179.0,75.41699025034904,100.98449556529522,19.0,12.0,244.0,227.0,31.0
254.0,78.8572968877852,27.0,0.0,78.8572968877852,100.0,154.0,19.441052857786417,59.41624402999878,15.0,12.0,166.0,63.0,27.0
271.0,101.78262909594923,24.0,0.0,101.78262909594923,105.0,166.0,30.30730600003153,71.4753230959177,14.0,10.0,178.0,85.0,24.0
240.0,70.56264309737253,28.0,0.0,71.01964544952352,102.0,138.0,25.790487900155995,44.772155197216534,10.0,18.0,152.0,91.0,28.0
488.0,296.4419043917263,20.0,0.0,300.9739457622636,270.0,218.0,164.06149744009224,132.3804069516341,13.0,7.0,395.0,321.0,20.0
218.0,49.46112252393027,16.0,0.0,61.509577037766576,147.0,71.0,56.351194595450124,-6.890072071519853,8.0,8.0,138.0,86.0,16.0
298.0,138.8600860266015,24.0,0.0,138.8600860266015,125.0,173.0,46.387959334068,92.4721266925335,11.0,13.0,206.0,189.0,24.0
388.0,142.15572458106402,39.0,0.0,181.008335508639,236.0,152.0,100.5871290282974,41.568595552766624,16.0,23.0,280.0,195.0,39.0
242.0,88.033970721066,19.0,0.0,88.033970721066,151.0,91.0,76.2151344306767,11.8188362903893,10.0,9.0,148.0,135.0,19.0
277.0,124.45185143966228,23.0,0.0,124.45185143966228,165.0,112.0,94.07788967806846,30.37396176159382,11.0,12.0,185.0,171.0,23.0
111.0,-36.7594851766371,15.0,0.0,-36.52682376629673,58.0,53.0,-10.971897661918774,-25.787587514718325,7.0,8.0,37.0,0.0,15.0
222.0,40.619912581731,17.0,0.0,56.130803269626995,147.0,75.0,52.73677331174753,-12.116860730016526,9.0,8.0,139.0,64.0,17.0
260.0,79.04625907414265,12.0,0.0,89.540007254167,162.0,98.0,73.4009577961333,5.645301278009356,4.0,8.0,186.0,91.0,12.0
194.0,0.12957757571712136,23.0,0.0,0.12957757571712136,74.0,120.0,-6.1981002148240805,6.327677790541202,10.0,13.0,97.0,0.0,23.0
500.0,342.57072946988046,34.0,0.0,342.57072946988046,233.0,267.0,163.76489526592195,178.8058342039585,12.0,22.0,408.0,394.0,34.0
302.0,149.1710238529015,26.0,0.0,149.2474807612598,173.0,129.0,101.0147885603476,48.1562352925539,12.0,14.0,210.0,196.0,26.0
259.0,103.6980859991163,22.0,0.0,103.6980859991163,155.0,104.0,79.41401634924114,24.284069649875164,10.0,12.0,165.0,152.0,22.0
230.0,39.92829976614803,33.0,0.0,39.957701788283885,87.0,143.0,12.319081065244973,27.609218700903057,15.0,18.0,130.0,55.0,33.0
258.0,105.45372914435575,17.0,0.0,105.45372914435575,147.0,111.0,72.49576577858534,32.95796336577041,9.0,8.0,167.0,148.0,17.0
500.0,345.2951252463972,15.0,0.0,345.2951252463972,263.0,237.0,190.21955354919191,155.0755716972053,7.0,8.0,424.0,387.0,15.0
229.0,52.85665954528241,15.0,0.0,69.74378482578322,156.0,73.0,67.06190849937894,-14.205248954096533,8.0,7.0,151.0,83.0,15.0
